Generation: 1
1, 200, 102, {'epochs': 4, 'units1': 8, 'act1': 'selu', 'units2': 26, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 10, 'units1': 4, 'act1': 'softmax', 'units2': 26, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 1, 'units1': 7, 'act1': 'tanh', 'units2': 43, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 7, 'units1': 1, 'act1': 'selu', 'units2': 41, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 4, 'units1': 3, 'act1': 'sigmoid', 'units2': 19, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 14, 'units1': 7, 'act1': 'sigmoid', 'units2': 48, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 21, -194, {'epochs': 1, 'units1': 1, 'act1': 'selu', 'units2': 4, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 93, {'epochs': 10, 'units1': 4, 'act1': 'relu', 'units2': 43, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 21, -194, {'epochs': 2, 'units1': 8, 'act1': 'selu', 'units2': 15, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
Generation: 2
1, 18, -203, {'epochs': 21, 'units1': 110, 'act1': 'selu', 'units2': 78, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
