Generation: 6
1, 200, -66901, {'epochs': 188, 'units1': 235, 'act1': 'selu', 'units2': 130, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -203, {'epochs': 135, 'units1': 47, 'act1': 'elu', 'units2': 200, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 77, -172, {'epochs': 247, 'units1': 191, 'act1': 'tanh', 'units2': 228, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 14, -179, {'epochs': 220, 'units1': 171, 'act1': 'linear', 'units2': 130, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 244, 'units1': 178, 'act1': 'tanh', 'units2': 237, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 28, 'units1': 155, 'act1': 'elu', 'units2': 226, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 218, 'units1': 204, 'act1': 'linear', 'units2': 115, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 10, 'units1': 188, 'act1': 'tanh', 'units2': 51, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 178, 'units1': 227, 'act1': 'selu', 'units2': 137, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 215, 'units1': 207, 'act1': 'selu', 'units2': 120, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -52684, {'epochs': 156, 'units1': 235, 'act1': 'linear', 'units2': 2, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 94, 'units1': 185, 'act1': 'selu', 'units2': 240, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -191, {'epochs': 87, 'units1': 130, 'act1': 'selu', 'units2': 98, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 243, 'units1': 181, 'act1': 'tanh', 'units2': 226, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
3, 28, 802, {'epochs': 67, 'units1': 5, 'act1': 'linear', 'units2': 34, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -197, {'epochs': 19, 'units1': 149, 'act1': 'elu', 'units2': 114, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
7, 58, 1857, {'epochs': 251, 'units1': 187, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -63649, {'epochs': 205, 'units1': 132, 'act1': 'selu', 'units2': 29, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -63649, {'epochs': 26, 'units1': 151, 'act1': 'elu', 'units2': 230, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 7, 'units1': 178, 'act1': 'selu', 'units2': 50, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -194, {'epochs': 93, 'units1': 186, 'act1': 'selu', 'units2': 248, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 17, -196, {'epochs': 128, 'units1': 222, 'act1': 'linear', 'units2': 94, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 119, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -62892, {'epochs': 186, 'units1': 44, 'act1': 'selu', 'units2': 163, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 183, 'units1': 239, 'act1': 'selu', 'units2': 132, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
