Generation: 11
1, 9, -209, {'epochs': 190, 'units1': 155, 'act1': 'tanh', 'units2': 241, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 57, 'units1': 212, 'act1': 'elu', 'units2': 118, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 101, 'units1': 48, 'act1': 'elu', 'units2': 174, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 37, 'units1': 95, 'act1': 'linear', 'units2': 53, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
3, 205, -62883, {'epochs': 236, 'units1': 157, 'act1': 'linear', 'units2': 62, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 98, {'epochs': 201, 'units1': 92, 'act1': 'tanh', 'units2': 165, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 241, 'units1': 217, 'act1': 'linear', 'units2': 118, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 53, 'units1': 212, 'act1': 'elu', 'units2': 119, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 129, 'units1': 122, 'act1': 'selu', 'units2': 2, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 104, 'units1': 35, 'act1': 'linear', 'units2': 207, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 60, 'units1': 165, 'act1': 'tanh', 'units2': 189, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 129, 'units1': 117, 'act1': 'selu', 'units2': 14, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 9, 'units1': 172, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 11, -211, {'epochs': 121, 'units1': 44, 'act1': 'selu', 'units2': 101, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -38896, {'epochs': 229, 'units1': 144, 'act1': 'linear', 'units2': 62, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 38, 'units1': 86, 'act1': 'linear', 'units2': 54, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 101, {'epochs': 121, 'units1': 44, 'act1': 'selu', 'units2': 101, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66649, {'epochs': 249, 'units1': 12, 'act1': 'elu', 'units2': 53, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -207, {'epochs': 53, 'units1': 212, 'act1': 'elu', 'units2': 119, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 103, 340, {'epochs': 249, 'units1': 220, 'act1': 'linear', 'units2': 117, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 111, 'units1': 48, 'act1': 'tanh', 'units2': 171, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 254, 'units1': 211, 'act1': 'linear', 'units2': 117, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 251, 'units1': 195, 'act1': 'linear', 'units2': 107, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -62916, {'epochs': 140, 'units1': 120, 'act1': 'elu', 'units2': 4, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -887, {'epochs': 249, 'units1': 220, 'act1': 'linear', 'units2': 117, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 63, 'units1': 208, 'act1': 'elu', 'units2': 123, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 139, 'units1': 115, 'act1': 'selu', 'units2': 11, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -189, {'epochs': 252, 'units1': 197, 'act1': 'linear', 'units2': 109, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
4, 248, 1637, {'epochs': 252, 'units1': 207, 'act1': 'linear', 'units2': 96, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -191, {'epochs': 60, 'units1': 216, 'act1': 'elu', 'units2': 116, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
