Generation: 1
1, 19, -195, {'epochs': 13, 'units1': 5, 'act1': 'elu', 'units2': 6, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 6, 'units1': 9, 'act1': 'relu', 'units2': 49, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 2, 'units1': 5, 'act1': 'softmax', 'units2': 10, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 87, {'epochs': 9, 'units1': 1, 'act1': 'tanh', 'units2': 2, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 9, 'units1': 9, 'act1': 'linear', 'units2': 35, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
3, 219, 1112, {'epochs': 12, 'units1': 11, 'act1': 'selu', 'units2': 34, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -191, {'epochs': 12, 'units1': 5, 'act1': 'tanh', 'units2': 33, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 105, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 40, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -197, {'epochs': 11, 'units1': 12, 'act1': 'tanh', 'units2': 5, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 4, 'units1': 9, 'act1': 'selu', 'units2': 17, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
Generation: 2
1, 12, -209, {'epochs': 5, 'units1': 11, 'act1': 'linear', 'units2': 6, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 23, -187, {'epochs': 12, 'units1': 11, 'act1': 'selu', 'units2': 34, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 2, 'units1': 12, 'act1': 'linear', 'units2': 3, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 14, 'units1': 8, 'act1': 'relu', 'units2': 20, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 14, 'units1': 1, 'act1': 'tanh', 'units2': 17, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 90, {'epochs': 3, 'units1': 13, 'act1': 'tanh', 'units2': 9, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 11, 'units1': 5, 'act1': 'relu', 'units2': 3, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 12, 306, {'epochs': 13, 'units1': 13, 'act1': 'elu', 'units2': 28, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -195, {'epochs': 10, 'units1': 9, 'act1': 'tanh', 'units2': 42, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 111, {'epochs': 2, 'units1': 7, 'act1': 'elu', 'units2': 35, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 114, {'epochs': 71, 'units1': 55, 'act1': 'selu', 'units2': 63, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 5, 'units1': 10, 'act1': 'softmax', 'units2': 47, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 1, 'units1': 9, 'act1': 'softmax', 'units2': 12, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -189, {'epochs': 7, 'units1': 8, 'act1': 'selu', 'units2': 22, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -203, {'epochs': 12, 'units1': 1, 'act1': 'selu', 'units2': 47, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 28, -195, {'epochs': 6, 'units1': 12, 'act1': 'relu', 'units2': 39, 'act2': 'linear', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 9, 'units1': 5, 'act1': 'selu', 'units2': 25, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
5, 93, 1854, {'epochs': 14, 'units1': 12, 'act1': 'tanh', 'units2': 19, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 6, 'units1': 9, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 40, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 25, -180, {'epochs': 7, 'units1': 4, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 21, -194, {'epochs': 4, 'units1': 7, 'act1': 'relu', 'units2': 44, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 4, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 17, -193, {'epochs': 8, 'units1': 12, 'act1': 'relu', 'units2': 47, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 9, 'units1': 7, 'act1': 'tanh', 'units2': 49, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
