Generation: 1
1, 200, 96, {'epochs': 13, 'units1': 4, 'act1': 'softmax', 'units2': 42, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 12, 'units1': 3, 'act1': 'selu', 'units2': 46, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 1, 'units1': 2, 'act1': 'sigmoid', 'units2': 31, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 16, -90, {'epochs': 3, 'units1': 9, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
3, 58, 52, {'epochs': 11, 'units1': 7, 'act1': 'selu', 'units2': 47, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 5, 'units1': 13, 'act1': 'softmax', 'units2': 26, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 78, {'epochs': 7, 'units1': 7, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 12, 'units1': 8, 'act1': 'linear', 'units2': 47, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 10, 'units1': 5, 'act1': 'softmax', 'units2': 17, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 10, 'units1': 6, 'act1': 'relu', 'units2': 3, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 3, 'units1': 7, 'act1': 'elu', 'units2': 6, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 1, 'units1': 9, 'act1': 'sigmoid', 'units2': 17, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 10, 'units1': 3, 'act1': 'sigmoid', 'units2': 42, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 11, 'units1': 6, 'act1': 'sigmoid', 'units2': 3, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 108, {'epochs': 8, 'units1': 4, 'act1': 'tanh', 'units2': 6, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 86, 'units1': 84, 'act1': 'softmax', 'units2': 106, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 13, 'units1': 7, 'act1': 'selu', 'units2': 1, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
