Generation: 2
1, 17, -178, {'epochs': 2, 'units1': 241, 'act1': 'tanh', 'units2': 27, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 205, 'units1': 180, 'act1': 'relu', 'units2': 91, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 211, 'units1': 33, 'act1': 'linear', 'units2': 169, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 243, 'units1': 230, 'act1': 'tanh', 'units2': 176, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
6, 77, 2373, {'epochs': 58, 'units1': 70, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 13, -198, {'epochs': 103, 'units1': 235, 'act1': 'selu', 'units2': 159, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 220, 'units1': 74, 'act1': 'softmax', 'units2': 46, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 140, 'units1': 69, 'act1': 'elu', 'units2': 67, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
5, 51, 1849, {'epochs': 116, 'units1': 120, 'act1': 'relu', 'units2': 20, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 26, 'units1': 35, 'act1': 'elu', 'units2': 151, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 12, 323, {'epochs': 45, 'units1': 19, 'act1': 'elu', 'units2': 145, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 20, -193, {'epochs': 45, 'units1': 19, 'act1': 'elu', 'units2': 145, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -62892, {'epochs': 126, 'units1': 95, 'act1': 'selu', 'units2': 111, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
5, 48, 1835, {'epochs': 73, 'units1': 239, 'act1': 'linear', 'units2': 145, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -186, {'epochs': 221, 'units1': 47, 'act1': 'linear', 'units2': 174, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 203, -65399, {'epochs': 83, 'units1': 102, 'act1': 'relu', 'units2': 144, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
3, 35, 847, {'epochs': 48, 'units1': 74, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 39, -156, {'epochs': 215, 'units1': 11, 'act1': 'tanh', 'units2': 191, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 29, 'units1': 42, 'act1': 'elu', 'units2': 154, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -64901, {'epochs': 68, 'units1': 168, 'act1': 'elu', 'units2': 20, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -65901, {'epochs': 143, 'units1': 92, 'act1': 'relu', 'units2': 48, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
10, 113, 4422, {'epochs': 43, 'units1': 198, 'act1': 'tanh', 'units2': 219, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 137, 'units1': 95, 'act1': 'relu', 'units2': 49, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 214, -66391, {'epochs': 123, 'units1': 86, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 77, 'units1': 227, 'act1': 'tanh', 'units2': 81, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -215, {'epochs': 37, 'units1': 27, 'act1': 'elu', 'units2': 154, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -183, {'epochs': 90, 'units1': 102, 'act1': 'relu', 'units2': 144, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 19, -192, {'epochs': 109, 'units1': 239, 'act1': 'selu', 'units2': 158, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -65901, {'epochs': 108, 'units1': 238, 'act1': 'selu', 'units2': 149, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 41, 303, {'epochs': 202, 'units1': 118, 'act1': 'selu', 'units2': 128, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -201, {'epochs': 1, 'units1': 166, 'act1': 'tanh', 'units2': 26, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 178, 'units1': 210, 'act1': 'tanh', 'units2': 255, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 23, -211, {'epochs': 71, 'units1': 229, 'act1': 'tanh', 'units2': 86, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 16, -169, {'epochs': 69, 'units1': 59, 'act1': 'selu', 'units2': 234, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -194, {'epochs': 244, 'units1': 233, 'act1': 'tanh', 'units2': 191, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -64901, {'epochs': 131, 'units1': 225, 'act1': 'selu', 'units2': 201, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
