Generation: 7
1, 10, -208, {'epochs': 102, 'units1': 20, 'act1': 'selu', 'units2': 203, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -186, {'epochs': 190, 'units1': 43, 'act1': 'selu', 'units2': 181, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
4, 297, 1621, {'epochs': 161, 'units1': 107, 'act1': 'elu', 'units2': 48, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 89, 'units1': 230, 'act1': 'tanh', 'units2': 80, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 39, -182, {'epochs': 112, 'units1': 208, 'act1': 'elu', 'units2': 85, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 184, 'units1': 182, 'act1': 'elu', 'units2': 126, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 89, 'units1': 231, 'act1': 'tanh', 'units2': 86, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 37, 'units1': 161, 'act1': 'linear', 'units2': 164, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -184, {'epochs': 39, 'units1': 25, 'act1': 'tanh', 'units2': 108, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 91, 'units1': 235, 'act1': 'selu', 'units2': 85, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -461, {'epochs': 37, 'units1': 31, 'act1': 'tanh', 'units2': 99, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -220, {'epochs': 224, 'units1': 49, 'act1': 'relu', 'units2': 82, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
5, 49, 1819, {'epochs': 47, 'units1': 205, 'act1': 'elu', 'units2': 50, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 50, 313, {'epochs': 168, 'units1': 25, 'act1': 'selu', 'units2': 104, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 93, {'epochs': 41, 'units1': 151, 'act1': 'tanh', 'units2': 150, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
6, 43, 2348, {'epochs': 225, 'units1': 243, 'act1': 'tanh', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 198, 'units1': 169, 'act1': 'selu', 'units2': 219, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 223, 'units1': 97, 'act1': 'elu', 'units2': 118, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -183, {'epochs': 38, 'units1': 139, 'act1': 'tanh', 'units2': 57, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 20, -196, {'epochs': 224, 'units1': 241, 'act1': 'elu', 'units2': 114, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 121, {'epochs': 200, 'units1': 174, 'act1': 'selu', 'units2': 218, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 246, 'units1': 41, 'act1': 'linear', 'units2': 91, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
