Generation: 9
1, 12, -182, {'epochs': 203, 'units1': 171, 'act1': 'selu', 'units2': 213, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 19, -205, {'epochs': 89, 'units1': 224, 'act1': 'tanh', 'units2': 81, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 295, 'units1': 265, 'act1': 'relu', 'units2': 18, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 107, {'epochs': 39, 'units1': 92, 'act1': 'tanh', 'units2': 43, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 32, 'units1': 160, 'act1': 'linear', 'units2': 165, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 89, 'units1': 224, 'act1': 'selu', 'units2': 81, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -487, {'epochs': 16, 'units1': 33, 'act1': 'tanh', 'units2': 2, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 86, 'units1': 235, 'act1': 'selu', 'units2': 89, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 21, -207, {'epochs': 192, 'units1': 56, 'act1': 'tanh', 'units2': 185, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -529, {'epochs': 208, 'units1': 97, 'act1': 'elu', 'units2': 114, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 209, 'units1': 107, 'act1': 'elu', 'units2': 114, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 21, 'units1': 223, 'act1': 'tanh', 'units2': 243, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 213, 'units1': 97, 'act1': 'linear', 'units2': 116, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -501, {'epochs': 236, 'units1': 53, 'act1': 'elu', 'units2': 92, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 123, 'units1': 171, 'act1': 'relu', 'units2': 21, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
2, 29, 322, {'epochs': 239, 'units1': 250, 'act1': 'tanh', 'units2': 114, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 229, 612, {'epochs': 166, 'units1': 25, 'act1': 'selu', 'units2': 107, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 65, -178, {'epochs': 31, 'units1': 189, 'act1': 'linear', 'units2': 66, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 81, 'units1': 235, 'act1': 'tanh', 'units2': 82, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -191, {'epochs': 9, 'units1': 160, 'act1': 'tanh', 'units2': 177, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 209, 'units1': 99, 'act1': 'linear', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -191, {'epochs': 225, 'units1': 251, 'act1': 'elu', 'units2': 114, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 109, {'epochs': 44, 'units1': 197, 'act1': 'elu', 'units2': 60, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -207, {'epochs': 225, 'units1': 51, 'act1': 'relu', 'units2': 86, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 111, 'units1': 10, 'act1': 'tanh', 'units2': 130, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 108, 'units1': 5, 'act1': 'linear', 'units2': 140, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 43, 'units1': 27, 'act1': 'tanh', 'units2': 101, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -561, {'epochs': 166, 'units1': 153, 'act1': 'linear', 'units2': 91, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 12, -212, {'epochs': 246, 'units1': 41, 'act1': 'linear', 'units2': 91, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 17, 'units1': 187, 'act1': 'linear', 'units2': 64, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 127, 'units1': 70, 'act1': 'tanh', 'units2': 105, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 240, 'units1': 209, 'act1': 'relu', 'units2': 2, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 41, 'units1': 151, 'act1': 'selu', 'units2': 150, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 110, {'epochs': 41, 'units1': 151, 'act1': 'selu', 'units2': 150, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 27, 'units1': 187, 'act1': 'linear', 'units2': 69, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 30, 'units1': 59, 'act1': 'selu', 'units2': 53, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 21, -197, {'epochs': 1, 'units1': 163, 'act1': 'tanh', 'units2': 182, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 21, -207, {'epochs': 97, 'units1': 234, 'act1': 'elu', 'units2': 114, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 257, 'units1': 182, 'act1': 'linear', 'units2': 140, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 215, -66, {'epochs': 232, 'units1': 134, 'act1': 'linear', 'units2': 126, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 14, -213, {'epochs': 95, 'units1': 238, 'act1': 'selu', 'units2': 92, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
