Generation: 3
1, 9, -212, {'epochs': 91, 'units1': 40, 'act1': 'elu', 'units2': 53, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
8, 105, 3404, {'epochs': 187, 'units1': 172, 'act1': 'relu', 'units2': 180, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 3, 'units1': 216, 'act1': 'tanh', 'units2': 138, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -63892, {'epochs': 163, 'units1': 104, 'act1': 'elu', 'units2': 58, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -62889, {'epochs': 165, 'units1': 102, 'act1': 'elu', 'units2': 53, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -62889, {'epochs': 165, 'units1': 102, 'act1': 'elu', 'units2': 53, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 14, -686, {'epochs': 38, 'units1': 242, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
9, 284, 3805, {'epochs': 13, 'units1': 187, 'act1': 'linear', 'units2': 19, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
2, 13, 310, {'epochs': 246, 'units1': 173, 'act1': 'tanh', 'units2': 4, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -64904, {'epochs': 246, 'units1': 173, 'act1': 'tanh', 'units2': 4, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 156, 'units1': 189, 'act1': 'elu', 'units2': 226, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -64895, {'epochs': 113, 'units1': 239, 'act1': 'linear', 'units2': 248, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
9, 167, 3870, {'epochs': 135, 'units1': 175, 'act1': 'elu', 'units2': 127, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
5, 43, -175, {'epochs': 207, 'units1': 23, 'act1': 'selu', 'units2': 171, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -207, {'epochs': 236, 'units1': 135, 'act1': 'linear', 'units2': 148, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -63901, {'epochs': 205, 'units1': 103, 'act1': 'selu', 'units2': 124, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -64904, {'epochs': 141, 'units1': 167, 'act1': 'selu', 'units2': 124, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -197, {'epochs': 236, 'units1': 142, 'act1': 'linear', 'units2': 152, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 21, 312, {'epochs': 205, 'units1': 27, 'act1': 'selu', 'units2': 163, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
8, 161, 3445, {'epochs': 39, 'units1': 255, 'act1': 'linear', 'units2': 255, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 211, 600, {'epochs': 108, 'units1': 30, 'act1': 'linear', 'units2': 152, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
9, 98, 3898, {'epochs': 123, 'units1': 44, 'act1': 'selu', 'units2': 228, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
26, 849, 12815, {'epochs': 131, 'units1': 168, 'act1': 'elu', 'units2': 122, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 175, 'units1': 103, 'act1': 'elu', 'units2': 59, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 86, 'units1': 226, 'act1': 'sigmoid', 'units2': 128, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
6, 108, 1355, {'epochs': 12, 'units1': 182, 'act1': 'linear', 'units2': 27, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 48, 'units1': 7, 'act1': 'linear', 'units2': 65, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 92, 'units1': 45, 'act1': 'elu', 'units2': 50, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -207, {'epochs': 51, 'units1': 40, 'act1': 'selu', 'units2': 106, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
