Generation: 1
1, 200, -50.5, {'epochs': 3, 'units1': 14, 'act1': 'selu', 'units2': 21, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 5, 'units1': 10, 'act1': 'relu', 'units2': 11, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -58.0, {'epochs': 7, 'units1': 18, 'act1': 'linear', 'units2': 27, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 59, -222.5, {'epochs': 101, 'units1': 95, 'act1': 'tanh', 'units2': 74, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 23, -211.0, {'epochs': 3, 'units1': 25, 'act1': 'relu', 'units2': 9, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -40.5, {'epochs': 6, 'units1': 25, 'act1': 'elu', 'units2': 17, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -48.0, {'epochs': 2, 'units1': 16, 'act1': 'tanh', 'units2': 12, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -40.5, {'epochs': 2, 'units1': 15, 'act1': 'elu', 'units2': 7, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -43.0, {'epochs': 3, 'units1': 22, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -208.5, {'epochs': 2, 'units1': 19, 'act1': 'tanh', 'units2': 19, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 92, 'units1': 16, 'act1': 'sigmoid', 'units2': 32, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 21, -210.5, {'epochs': 4, 'units1': 14, 'act1': 'elu', 'units2': 20, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
