Generation: 1
1, 18, -194, {'epochs': 24, 'units1': 232, 'act1': 'elu', 'units2': 204, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 187, 'units1': 51, 'act1': 'tanh', 'units2': 237, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 212, 'units1': 57, 'act1': 'softmax', 'units2': 116, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 123, {'epochs': 30, 'units1': 144, 'act1': 'relu', 'units2': 121, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
2, 52, 330, {'epochs': 125, 'units1': 36, 'act1': 'tanh', 'units2': 187, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 112, 'units1': 58, 'act1': 'tanh', 'units2': 73, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 61, 'units1': 83, 'act1': 'linear', 'units2': 93, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -185, {'epochs': 192, 'units1': 56, 'act1': 'relu', 'units2': 175, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 154, 'units1': 179, 'act1': 'relu', 'units2': 221, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -64895, {'epochs': 90, 'units1': 18, 'act1': 'linear', 'units2': 217, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
7, 101, 1877, {'epochs': 126, 'units1': 227, 'act1': 'tanh', 'units2': 34, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 154, 'units1': 61, 'act1': 'elu', 'units2': 246, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -203, {'epochs': 227, 'units1': 134, 'act1': 'linear', 'units2': 16, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53898, {'epochs': 69, 'units1': 227, 'act1': 'tanh', 'units2': 208, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
