Generation: 1
1, 9, -197.5, {'epochs': 3, 'units1': 12, 'act1': 'relu', 'units2': 22, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 12, -109.5, {'epochs': 5, 'units1': 19, 'act1': 'tanh', 'units2': 28, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 6, 'units1': 18, 'act1': 'softmax', 'units2': 23, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -210.0, {'epochs': 4, 'units1': 14, 'act1': 'tanh', 'units2': 17, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 16, -190.5, {'epochs': 4, 'units1': 21, 'act1': 'linear', 'units2': 8, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 17, -207.0, {'epochs': 6, 'units1': 12, 'act1': 'relu', 'units2': 13, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -48.0, {'epochs': 5, 'units1': 19, 'act1': 'tanh', 'units2': 28, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -43.0, {'epochs': 3, 'units1': 12, 'act1': 'relu', 'units2': 22, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 8, 'units1': 4, 'act1': 'relu', 'units2': 17, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 8, 'units1': 5, 'act1': 'tanh', 'units2': 17, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -200.0, {'epochs': 3, 'units1': 10, 'act1': 'tanh', 'units2': 10, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 3, 'units1': 10, 'act1': 'tanh', 'units2': 10, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 4, 'units1': 30, 'act1': 'softmax', 'units2': 6, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -192.5, {'epochs': 4, 'units1': 26, 'act1': 'linear', 'units2': 7, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 1, 'units1': 21, 'act1': 'relu', 'units2': 21, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 71, 'units1': 32, 'act1': 'softmax', 'units2': 42, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -207.5, {'epochs': 3, 'units1': 23, 'act1': 'relu', 'units2': 14, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -195.0, {'epochs': 5, 'units1': 29, 'act1': 'relu', 'units2': 11, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 8, 'units1': 12, 'act1': 'relu', 'units2': 26, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 8, 'units1': 17, 'act1': 'softmax', 'units2': 28, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
