Generation: 2
1, 9, -204, {'epochs': 80, 'units1': 129, 'act1': 'softmax', 'units2': 225, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 12, -185, {'epochs': 101, 'units1': 60, 'act1': 'elu', 'units2': 168, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 101, 'units1': 60, 'act1': 'elu', 'units2': 168, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 136, 'units1': 201, 'act1': 'softmax', 'units2': 221, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
9, 75, 3881, {'epochs': 183, 'units1': 64, 'act1': 'relu', 'units2': 90, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 17, -170, {'epochs': 91, 'units1': 71, 'act1': 'relu', 'units2': 145, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 31, -192, {'epochs': 101, 'units1': 189, 'act1': 'relu', 'units2': 230, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 75, 'units1': 48, 'act1': 'tanh', 'units2': 179, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
4, 255, -65358, {'epochs': 84, 'units1': 183, 'act1': 'softmax', 'units2': 184, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 72, 'units1': 237, 'act1': 'softmax', 'units2': 205, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -59893, {'epochs': 255, 'units1': 220, 'act1': 'linear', 'units2': 121, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 58, 357, {'epochs': 57, 'units1': 78, 'act1': 'linear', 'units2': 175, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 109, 'units1': 51, 'act1': 'relu', 'units2': 189, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 21, 315, {'epochs': 216, 'units1': 79, 'act1': 'tanh', 'units2': 173, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 62, 'units1': 43, 'act1': 'softmax', 'units2': 81, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -62916, {'epochs': 229, 'units1': 182, 'act1': 'linear', 'units2': 1, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -203, {'epochs': 40, 'units1': 60, 'act1': 'elu', 'units2': 60, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 120, 'units1': 148, 'act1': 'elu', 'units2': 205, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
