Generation: 15
3, 110, 854, {'epochs': 28, 'units1': 174, 'act1': 'selu', 'units2': 91, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 179, 'units1': 37, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -58931, {'epochs': 3, 'units1': 181, 'act1': 'selu', 'units2': 50, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 12, 307, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -210, {'epochs': 10, 'units1': 188, 'act1': 'selu', 'units2': 51, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -207, {'epochs': 187, 'units1': 36, 'act1': 'selu', 'units2': 175, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 94, {'epochs': 217, 'units1': 164, 'act1': 'selu', 'units2': 149, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 80, {'epochs': 118, 'units1': 100, 'act1': 'selu', 'units2': 247, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 18, -197, {'epochs': 431, 'units1': 207, 'act1': 'elu', 'units2': 313, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 20, -1196, {'epochs': 127, 'units1': 56, 'act1': 'selu', 'units2': 173, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -196, {'epochs': 180, 'units1': 121, 'act1': 'selu', 'units2': 200, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 102, {'epochs': 186, 'units1': 44, 'act1': 'elu', 'units2': 163, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -58913, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
3, 35, -166, {'epochs': 185, 'units1': 45, 'act1': 'elu', 'units2': 160, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 195, 'units1': 133, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -62892, {'epochs': 201, 'units1': 132, 'act1': 'selu', 'units2': 21, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 180, 'units1': 45, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -201, {'epochs': 186, 'units1': 119, 'act1': 'selu', 'units2': 198, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 190, 'units1': 44, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 22, -1195, {'epochs': 207, 'units1': 136, 'act1': 'selu', 'units2': 29, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
22, 626, 10534, {'epochs': 205, 'units1': 138, 'act1': 'elu', 'units2': 24, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 33, -167, {'epochs': 189, 'units1': 42, 'act1': 'selu', 'units2': 168, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 202, 'units1': 135, 'act1': 'selu', 'units2': 22, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 253, 'units1': 186, 'act1': 'tanh', 'units2': 232, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 251, 'units1': 180, 'act1': 'tanh', 'units2': 239, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 125, {'epochs': 250, 'units1': 188, 'act1': 'tanh', 'units2': 227, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 187, 'units1': 36, 'act1': 'selu', 'units2': 175, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 198, 'units1': 132, 'act1': 'selu', 'units2': 23, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
2, 208, -66397, {'epochs': 221, 'units1': 170, 'act1': 'elu', 'units2': 152, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -195, {'epochs': 189, 'units1': 42, 'act1': 'elu', 'units2': 168, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -194, {'epochs': 243, 'units1': 181, 'act1': 'tanh', 'units2': 226, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
