Generation: 1
1, 21, -228.0, {'epochs': 60, 'units1': 42, 'act1': 'relu', 'units2': 37, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -214.0, {'epochs': 81, 'units1': 56, 'act1': 'relu', 'units2': 50, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 17, 'units1': 15, 'act1': 'relu', 'units2': 9, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -40.5, {'epochs': 31, 'units1': 23, 'act1': 'relu', 'units2': 18, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -48.0, {'epochs': 142, 'units1': 57, 'act1': 'relu', 'units2': 71, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 50, 'units1': 35, 'act1': 'relu', 'units2': 30, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -40.5, {'epochs': 22, 'units1': 19, 'act1': 'relu', 'units2': 12, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -45.5, {'epochs': 41, 'units1': 30, 'act1': 'relu', 'units2': 25, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 19, -210.0, {'epochs': 24, 'units1': 24, 'act1': 'relu', 'units2': 12, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -208.0, {'epochs': 42, 'units1': 33, 'act1': 'relu', 'units2': 25, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -202.5, {'epochs': 17, 'units1': 15, 'act1': 'relu', 'units2': 9, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -216.5, {'epochs': 31, 'units1': 23, 'act1': 'relu', 'units2': 18, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 55, 'units1': 38, 'act1': 'relu', 'units2': 34, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 50, 'units1': 35, 'act1': 'relu', 'units2': 30, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
